epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.6022,1.69033,2.68168,1.74288,0.52669,0.47452,0.46104,0.22393,1.71511,2.14797,1.6596,0.0704478,0.00328358,0.00328358
2,96.6047,1.50352,1.6091,1.52598,0.53355,0.5152,0.50335,0.23626,1.74262,2.03658,1.7548,0.0404259,0.00659508,0.00659508
3,140.146,1.54174,1.5736,1.5669,0.32175,0.34908,0.21382,0.07173,2.38692,2.73707,2.836,0.0103821,0.00988458,0.00988458
4,186.131,1.59087,1.63161,1.62033,0.1966,0.22726,0.10276,0.03433,2.55831,9.51019,2.65128,0.009901,0.009901,0.009901
5,229.949,1.55571,1.56949,1.59558,0.39806,0.3723,0.30269,0.11692,2.14178,5.88183,2.2078,0.009868,0.009868,0.009868
6,273.172,1.538,1.53394,1.58565,0.5134,0.48172,0.45431,0.20537,1.92672,2.23624,1.91647,0.009835,0.009835,0.009835
7,316.479,1.50938,1.48554,1.5582,0.54987,0.48728,0.48271,0.22563,1.80084,1.92994,1.83686,0.009802,0.009802,0.009802
8,359.51,1.48922,1.44362,1.54188,0.5578,0.53443,0.5283,0.26095,1.77114,1.60197,1.79236,0.009769,0.009769,0.009769
9,402.579,1.47869,1.42272,1.53644,0.54124,0.48084,0.4814,0.22734,1.83203,1.76441,1.81698,0.009736,0.009736,0.009736
10,445.518,1.45711,1.38767,1.51689,0.58186,0.55175,0.5632,0.29098,1.70683,1.59617,1.76378,0.009703,0.009703,0.009703
11,488.87,1.44237,1.36211,1.5058,0.49446,0.45994,0.4261,0.18452,1.92125,1.96819,1.90688,0.00967,0.00967,0.00967
12,531.965,1.4358,1.34004,1.49825,0.60974,0.56003,0.58637,0.30237,1.67406,1.52448,1.69374,0.009637,0.009637,0.009637
13,574.844,1.41347,1.30586,1.48722,0.63917,0.56877,0.59301,0.30017,1.70571,1.45446,1.7048,0.009604,0.009604,0.009604
14,618.033,1.40482,1.27754,1.47502,0.63391,0.56763,0.59397,0.29844,1.73553,1.48158,1.75911,0.009571,0.009571,0.009571
